match_id,year,stage,home_team,away_team,home_score,away_score,t1_xg,t2_xg,t1_xga,t2_xga,t1_pos,t2_pos,t1_ppda,t2_ppda,t1_press,t2_press,t1_xg_per_shot,t2_xg_per_shot,result,xG_diff,xGA_diff,pos_diff,ppda_diff,press_diff,xg_quality_diff
3857268,2022,Group Stage,Belgium,Canada,1,0,0.6700408539999999,2.5462123360000004,2.5462123360000004,0.6700408539999999,51.700485853100886,48.299514146899114,3.902439024390244,3.7872340425531914,83,112,0.07444898377777777,0.11573692436363638,1,-1.8761714820000006,-1.8761714820000006,3.400971706201773,-0.11520498183705241,-29,-0.04128794058585861
3857269,2022,Group Stage,Brazil,Switzerland,1,0,0.922729946,0.288629175,0.288629175,0.922729946,54.04120443740095,45.95879556259905,3.8,4.455223880597015,104,112,0.07097922661538461,0.048104862500000005,1,0.634100771,0.634100771,8.0824088748019,0.6552238805970152,-8,0.022874364115384606
3857292,2022,Group Stage,Costa Rica,Germany,2,4,1.0347440669999999,4.316106397,4.316106397,1.0347440669999999,36.10752132333936,63.89247867666064,4.75776397515528,2.2395209580838324,125,140,0.14782058099999998,0.13922923861290323,0,-3.2813623300000003,-3.2813623300000003,-27.784957353321275,-2.5182430170714474,-15,0.008591342387096745
3857295,2022,Group Stage,Japan,Costa Rica,0,1,0.773533495,0.199368384,0.199368384,0.773533495,55.68627450980392,44.31372549019608,2.81437125748503,3.174358974358974,146,161,0.05950257653846154,0.049842096,0,0.574165111,0.574165111,11.372549019607845,0.35998771687394404,-15,0.009660480538461538
3869684,2022,3rd Place Final,Croatia,Morocco,2,1,0.8492689635999999,0.9914571200000001,0.9914571200000001,0.8492689635999999,49.49438202247191,50.5056179775281,3.8208955223880596,3.0171428571428573,113,144,0.07077241363333332,0.11016190222222223,1,-0.14218815640000015,-0.14218815640000015,-1.0112359550561862,-0.8037526652452023,-31,-0.03938948858888891
3857256,2022,Group Stage,Serbia,Switzerland,2,3,1.189003535,3.1035154719999998,3.1035154719999998,1.189003535,53.67601246105919,46.323987538940806,3.6475409836065573,4.415254237288136,94,83,0.09908362791666665,0.22167967657142856,0,-1.9145119369999999,-1.9145119369999999,7.352024922118382,0.7677132536815785,11,-0.12259604865476191
3869151,2022,Round of 16,Argentina,Australia,2,1,1.4815793030000002,0.42611782,0.42611782,1.4815793030000002,59.253012048192765,40.74698795180723,3.0641025641025643,2.935483870967742,127,216,0.10582709307142858,0.085223564,1,1.0554614830000002,1.0554614830000002,18.506024096385538,-0.12861869313482233,-89,0.02060352907142858
3857257,2022,Group Stage,Australia,Denmark,1,0,0.469723377,0.737154632,0.737154632,0.469723377,34.585420144685585,65.41457985531441,5.107142857142857,2.5925925925925926,101,101,0.058715422125,0.05265390228571428,1,-0.267431255,-0.267431255,-30.82915971062883,-2.514550264550264,0,0.006061519839285719
3857258,2022,Group Stage,Brazil,Serbia,2,0,2.1238895187000004,0.16332714399999998,0.16332714399999998,2.1238895187000004,57.467177242888404,42.532822757111596,3.5396825396825395,3.4915254237288136,102,147,0.09234302255217393,0.03266542879999999,1,1.9605623747000005,1.9605623747000005,14.934354485776808,-0.04815711595372596,-45,0.059677593752173935
3857288,2022,Group Stage,Tunisia,Australia,0,1,1.052170345,0.3590377687,0.3590377687,1.052170345,56.38582911580827,43.61417088419172,2.58974358974359,3.167630057803468,121,127,0.07515502464285714,0.03989308541111111,0,0.6931325763,0.6931325763,12.771658231616549,0.5778864680598783,-6,0.03526193923174603
3857267,2022,Group Stage,Ecuador,Senegal,1,2,1.001662787,1.7074647099999998,1.7074647099999998,1.001662787,57.410682702511494,42.589317297488506,2.2056737588652484,3.163265306122449,113,126,0.11129586522222223,0.13134343923076922,0,-0.7058019229999997,-0.7058019229999997,14.821365405022988,0.9575915472572007,-13,-0.02004757400854698
3869486,2022,Quarter-finals,Morocco,Portugal,1,0,0.972022875,0.7441207567,0.7441207567,0.972022875,32.86010056196392,67.13989943803608,3.600985221674877,2.7362637362637363,163,79,0.10800254166666666,0.062010063058333335,1,0.22790211829999996,0.22790211829999996,-34.279798876072164,-0.8647214854111405,84,0.045992478608333325
3857260,2022,Group Stage,Saudi Arabia,Mexico,1,2,1.076111142,2.3221233279,2.3221233279,1.076111142,42.20467032967033,57.795329670329664,2.8372093023255816,1.861271676300578,129,139,0.1076111142,0.08931243568846153,0,-1.2460121859,-1.2460121859,-15.590659340659336,-0.9759376260250034,-10,0.018298678511538463
3857264,2022,Group Stage,Poland,Argentina,0,2,0.197595245,3.0766596990000004,3.0766596990000004,0.197595245,29.837117472852913,70.16288252714709,6.886363636363637,3.149532710280374,105,88,0.04939881125,0.12819415412500001,0,-2.8790644540000003,-2.8790644540000003,-40.32576505429418,-3.736830926083263,17,-0.07879534287500001
3857289,2022,Group Stage,Argentina,Mexico,2,0,0.325204139,0.20639165169999998,0.20639165169999998,0.325204139,56.592592592592595,43.407407407407405,3.0763358778625953,3.277456647398844,109,147,0.0650408278,0.051597912924999996,1,0.11881248730000002,0.11881248730000002,13.18518518518519,0.20112076953624847,-38,0.01344291487500001
3869254,2022,Round of 16,Portugal,Switzerland,6,1,2.2842600070000003,1.271827172,1.271827172,2.2842600070000003,49.298655756867326,50.701344243132674,2.6532663316582914,3.7829457364341086,172,106,0.15228400046666668,0.12718271720000002,1,1.0124328350000003,1.0124328350000003,-1.4026884862653475,1.1296794047758172,66,0.025101283266666663
3869118,2022,Round of 16,England,Senegal,3,0,1.020023461,0.972806433,0.972806433,1.020023461,59.51497860199715,40.48502139800285,3.238095238095238,3.7710843373493974,95,137,0.127502932625,0.0972806433,1,0.04721702800000005,0.04721702800000005,19.0299572039943,0.5329890992541593,-42,0.030222289325000012
3869519,2022,Semi-finals,Argentina,Croatia,3,0,1.8643632719999998,0.4100536413,0.4100536413,1.8643632719999998,42.905937992643196,57.094062007356804,2.905829596412556,3.540983606557377,192,98,0.20715147466666664,0.034171136775,1,1.4543096306999999,1.4543096306999999,-14.188124014713608,0.635154010144821,94,0.17298033789166664
3869354,2022,Quarter-finals,England,France,1,2,2.352551477,0.8393620340000001,0.8393620340000001,2.352551477,56.34455078728002,43.65544921271998,3.193798449612403,3.985611510791367,112,118,0.1470344673125,0.10492025425000001,0,1.513189443,1.513189443,12.689101574560041,0.791813061178964,-6,0.04211421306249999
